date,mean_sentiment,Volume,Volume Weighted,Open,Close,High,Low,Count
2022-12-17,0.0,160063600.0,134.9476,136.685,134.51,137.65,133.73,821076.0
2022-12-18,0.0771428571428571,160063600.0,134.9476,136.685,134.51,137.65,133.73,821076.0
2022-12-19,0.1691666666666666,79592614.0,132.4667,135.11,132.37,135.2,131.32,705820.0
2022-12-20,0.0714682539682539,77430718.0,131.8489,131.39,132.3,133.25,129.89,640693.0
2022-12-21,0.1633333333333333,85927993.0,135.315,132.98,135.45,136.81,132.75,588684.0
2022-12-22,0.2374338624338624,77696108.0,131.8997,134.352,132.23,134.56,130.3,643294.0
2022-12-23,0.275,63802893.0,131.1521,130.92,131.86,132.415,129.64,541274.0
2022-12-24,0.0566666666666666,63802893.0,131.1521,130.92,131.86,132.415,129.64,541274.0
2022-12-25,0.2299999999999999,63802893.0,131.1521,130.92,131.86,132.415,129.64,541274.0
2022-12-26,-0.0017195767195767,63802893.0,131.1521,130.92,131.86,132.415,129.64,541274.0
2022-12-27,0.2338816738816738,69007830.0,129.9522,131.38,130.03,131.41,128.72,608331.0
2022-12-28,0.0643809523809523,85438391.0,127.5918,129.67,126.04,131.0275,125.87,762246.0
2022-12-29,0.1334444444444444,75501810.0,129.4879,127.99,129.61,130.4814,127.73,598204.0
2022-12-30,0.1378787878787878,76204209.0,128.8013,128.41,129.93,129.95,127.43,592655.0
2022-12-31,0.03,76204209.0,128.8013,128.41,129.93,129.95,127.43,592655.0
2023-01-01,-0.0388888888888888,76204209.0,128.8013,128.41,129.93,129.95,127.43,592655.0
2023-01-02,0.1214285714285714,76204209.0,128.8013,128.41,129.93,129.95,127.43,592655.0
2023-01-03,0.2707142857142857,112117471.0,125.725,130.28,125.07,130.9,124.17,1021065.0
2023-01-04,-0.0067857142857142,89100633.0,126.6464,126.89,126.36,128.6557,125.08,770042.0
2023-01-05,0.0394444444444444,80716808.0,126.0883,127.13,125.02,127.77,124.76,665458.0
2023-01-06,0.1524801587301587,87754715.0,128.1982,126.01,129.62,130.29,124.89,711520.0
2023-01-07,0.145,87754715.0,128.1982,126.01,129.62,130.29,124.89,711520.0
2023-01-08,0.0099999999999999,87754715.0,128.1982,126.01,129.62,130.29,124.89,711520.0
2023-01-09,0.049047619047619,70790813.0,131.6292,130.465,130.15,133.41,129.89,645365.0
2023-01-10,0.1,63896155.0,129.822,130.26,130.73,131.2636,128.12,554940.0
2023-01-11,0.105,69458949.0,132.3081,131.25,133.49,133.51,130.46,561278.0
2023-01-12,-0.05,71379648.0,133.171,133.88,133.41,134.26,131.44,635331.0
2023-01-13,0.1399999999999999,57809719.0,133.6773,132.03,134.76,134.92,131.66,537385.0
2023-01-14,0.0433982683982683,57809719.0,133.6773,132.03,134.76,134.92,131.66,537385.0
2023-01-15,0.1142857142857142,57809719.0,133.6773,132.03,134.76,134.92,131.66,537385.0
2023-01-16,0.11625,57809719.0,133.6773,132.03,134.76,134.92,131.66,537385.0
2023-01-17,0.0220238095238095,63612627.0,135.7587,134.83,135.94,137.29,134.13,595831.0
2023-01-18,0.1825887445887445,69672800.0,136.3316,136.815,135.21,138.61,135.03,578304.0
2023-01-19,0.1075,58280413.0,134.9653,134.08,135.27,136.25,133.77,491674.0
2023-01-20,0.1049999999999999,80200655.0,136.3762,135.28,137.87,138.02,134.22,552230.0
2023-01-21,-0.0087301587301587,80200655.0,136.3762,135.28,137.87,138.02,134.22,552230.0
2023-01-22,0.0909090909090909,80200655.0,136.3762,135.28,137.87,138.02,134.22,552230.0
2023-01-23,0.0719444444444444,81760313.0,141.2116,138.12,141.11,143.315,137.9,719288.0
2023-01-24,0.0313227513227513,66435142.0,142.0507,140.305,142.53,143.16,140.3,498679.0
2023-01-25,0.1535714285714285,65799349.0,140.7526,140.89,141.86,142.43,138.81,536505.0
2023-01-26,-0.0151587301587301,54105068.0,143.3429,143.17,143.96,144.25,141.9,472135.0
2023-01-27,-0.006031746031746,70547743.0,145.8365,143.155,145.93,147.23,143.08,560022.0
2023-01-28,0.2444444444444444,70547743.0,145.8365,143.155,145.93,147.23,143.08,560022.0
2023-01-29,0.1666666666666666,70547743.0,145.8365,143.155,145.93,147.23,143.08,560022.0
2023-01-30,0.0075,64015274.0,143.6524,144.955,143.0,145.55,142.85,551111.0
2023-01-31,0.02375,65874459.0,143.6473,142.7,144.29,144.34,142.28,468170.0
2023-02-01,0.0673015873015873,77663426.0,143.8723,143.97,145.43,146.61,141.32,693374.0
2023-02-02,0.1436111111111111,118338980.0,149.3764,148.9,150.82,151.18,148.17,996203.0
2023-02-03,0.135,154338835.0,154.2437,148.03,154.5,157.38,147.83,1141350.0
2023-02-04,0.2386111111111111,154338835.0,154.2437,148.03,154.5,157.38,147.83,1141350.0
2023-02-05,0.095,154338835.0,154.2437,148.03,154.5,157.38,147.83,1141350.0
2023-02-06,0.1216666666666666,69771906.0,152.0939,152.575,151.73,153.1,150.78,583517.0
2023-02-07,0.0759523809523809,83322551.0,153.4202,150.64,154.65,155.23,150.64,661767.0
2023-02-08,0.1196825396825396,63620079.0,152.3636,153.88,151.92,154.58,151.168,524140.0
2023-02-09,0.1093888888888888,55994243.0,152.2769,153.775,150.87,154.33,150.42,471973.0
2023-02-10,0.1840079365079365,57388108.0,150.4054,149.46,151.01,151.3401,149.22,443405.0
2023-02-11,0.0455026455026455,57388108.0,150.4054,149.46,151.01,151.3401,149.22,443405.0
2023-02-12,-0.075,57388108.0,150.4054,149.46,151.01,151.3401,149.22,443405.0
2023-02-13,0.2380208333333333,62199013.0,153.231,150.952,153.85,154.26,150.92,506668.0
2023-02-14,0.1134920634920634,61664023.0,152.5956,152.12,153.2,153.77,150.86,528566.0
2023-02-15,0.187274531024531,65665252.0,154.4536,153.11,155.33,155.5,152.88,520574.0
2023-02-16,0.0505357142857142,68167942.0,154.7143,153.51,153.71,156.33,153.3475,516187.0
2023-02-17,-0.0222222222222222,59105618.0,152.0451,152.35,152.55,153.0,150.85,468580.0
2023-02-18,0.1991622574955908,59105618.0,152.0451,152.35,152.55,153.0,150.85,468580.0
2023-02-19,0.3277777777777778,59105618.0,152.0451,152.35,152.55,153.0,150.85,468580.0
2023-02-20,0.0316137566137566,59105618.0,152.0451,152.35,152.55,153.0,150.85,468580.0
2023-02-21,0.1101515151515151,58217230.0,149.3501,150.2,148.48,151.3,148.405,509342.0
2023-02-22,0.0127857142857142,51008155.0,148.5494,148.87,148.91,149.95,147.16,429775.0
2023-02-23,0.2051190476190476,48392049.0,148.8407,150.09,149.4,150.34,147.24,425159.0
2023-02-24,0.0374107142857142,55469606.0,146.3861,147.11,146.71,147.19,145.7202,472221.0
2023-02-25,0.3,55469606.0,146.3861,147.11,146.71,147.19,145.7202,472221.0
2023-02-26,0.05,55469606.0,146.3861,147.11,146.71,147.19,145.7202,472221.0
2023-02-27,0.076017316017316,44998470.0,148.1344,147.71,147.92,149.17,147.45,418069.0
2023-02-28,0.0573809523809523,50546998.0,147.7996,147.05,147.41,149.08,146.83,383779.0
2023-03-01,0.2239682539682539,55478991.0,145.868,146.83,145.31,147.2285,145.01,461613.0
2023-03-02,0.105015873015873,52279761.0,145.1652,144.38,145.91,146.71,143.9,413238.0
2023-03-03,0.0875,70725339.0,150.0304,148.045,151.03,151.11,147.33,558706.0
2023-03-04,0.143015873015873,70725339.0,150.0304,148.045,151.03,151.11,147.33,558706.0
2023-03-05,0.059375,70725339.0,150.0304,148.045,151.03,151.11,147.33,558706.0
2023-03-06,0.0769940476190476,87558028.0,154.6895,153.785,153.83,156.3,153.46,691990.0
2023-03-07,0.1514285714285714,56136378.0,152.2768,153.7,151.6,154.0299,151.13,496631.0
2023-03-08,0.1995238095238095,47204791.0,152.6973,152.81,152.87,153.47,151.83,405203.0
2023-03-09,0.1082467532467532,53833122.0,152.4689,153.559,150.59,154.535,150.225,480909.0
2023-03-10,0.0714285714285714,68559600.0,149.0716,150.21,148.5,150.94,147.6096,611457.0
2023-03-11,0.1785714285714285,68559600.0,149.0716,150.21,148.5,150.94,147.6096,611457.0
2023-03-12,0.0099999999999999,68559600.0,149.0716,150.21,148.5,150.94,147.6096,611457.0
